fiscal_year,report_year,as_of_date,all_employees,women_n,women_pct,indigenous_n,indigenous_pct,disability_n,disability_pct,racialized_n,racialized_pct
FY2021-22,2022,"As of March 31, 2017","185,484","101,136",54.5,"9,726",5.2,"10,259",5.5,"28,058",15.1
FY2021-22,2022,"As of March 31, 2016","181,674","98,846",54.4,"9,358",5.2,"10,092",5.6,"26,336",14.5
FY2021-22,2022,"As of March 31, 2015","180,681","98,051",54.3,"9,232",5.1,"10,204",5.6,"24,849",13.8
FY2021-22,2022,"As of March 31, 2014","181,356","98,078",54.1,"9,239",5.1,"10,390",5.7,"23,919",13.2
FY2021-22,2022,"As of March 31, 2013","188,342","102,124",54.2,"9,491",5.0,"10,871",5.8,"23,812",12.6
FY2021-22,2022,"As of March 31, 2012","198,793","108,620",54.6,"9,785",4.9,"11,418",5.7,"23,978",12.1
FY2021-22,2022,"As of March 31, 2011","202,631","111,051",54.8,"9,486",4.7,"11,388",5.6,"22,998",11.3
FY2021-22,2022,"As of March 31, 2010","202,386","110,867",54.8,"9,307",4.6,"11,620",5.7,"21,567",10.7
FY2021-22,2022,"As of March 31, 2009","195,667","107,089",54.7,"8,892",4.5,"11,468",5.9,"19,264",9.8
FY2021-22,2022,"As of March 31, 2008","186,754","101,589",54.4,"8,190",4.4,"11,001",5.9,"17,207",9.2
FY2021-22,2022,"As of March 31, 2007","179,540","96,816",53.9,"7,610",4.2,"10,192",5.7,"15,787",8.8
FY2021-22,2022,"As of March 31, 2006","176,630","95,013",53.8,"7,381",4.2,"10,169",5.8,"15,112",8.6
FY2021-22,2022,"As of March 31, 2005","165,856","88,702",53.5,"6,886",4.2,"9,626",5.8,"13,498",8.1
FY2021-22,2022,"As of March 31, 2004","165,976","88,175",53.1,"6,723",4.1,"9,452",5.7,"13,001",7.8
FY2021-22,2022,"As of March 31, 2003","163,314","86,162",52.8,"6,426",3.9,"9,155",5.6,"12,058",7.4
FY2021-22,2022,"As of March 31, 2002","157,510","82,663",52.5,"5,980",3.8,"8,331",5.3,"10,772",6.8
FY2021-22,2022,"As of March 31, 2001","149,339","77,785",52.1,"5,316",3.6,"7,621",5.1,"9,143",6.1
FY2021-22,2022,"As of March 31, 2000* (Revenue Canada excluded)","141,253","72,549",51.4,"4,639",3.3,"6,687",4.7,"7,764",5.5
FY2021-22,2022,"As of March 31, 1999 (Revenue Canada included)","178,340","91,856",51.5,"5,124",2.9,"8,137",4.6,"10,557",5.9
FY2021-22,2022,"As of March 31, 1998","179,831","90,801",50.5,"4,770",2.7,"6,943",3.9,"9,260",5.1
FY2022-23,2023,"As of March 31, 2022","236,133","132,299",56.0,"12,336",5.2,"14,573",6.2,"47,728",20.2
FY2022-23,2023,"As of March 31, 2021","228,345","127,043",55.6,"11,977",5.2,"12,893",5.6,"43,122",18.9
FY2022-23,2023,"As of March 31, 2020","214,120","117,760",55.0,"10,888",5.1,"11,087",5.2,"38,145",17.8
FY2022-23,2023,"As of March 31, 2019","203,268","111,332",54.8,"10,435",5.1,"10,622",5.2,"34,004",16.7
FY2022-23,2023,"As of March 31, 2018","192,467","105,465",54.8,"9,876",5.1,"10,181",5.3,"30,273",15.7
FY2022-23,2023,"As of March 31, 2017","185,484","101,136",54.5,"9,726",5.2,"10,259",5.5,"28,058",15.1
FY2022-23,2023,"As of March 31, 2016","181,674","98,846",54.4,"9,358",5.2,"10,092",5.6,"26,336",14.5
FY2022-23,2023,"As of March 31, 2015","180,681","98,051",54.3,"9,232",5.1,"10,204",5.6,"24,849",13.8
FY2022-23,2023,"As of March 31, 2014","181,356","98,078",54.1,"9,239",5.1,"10,390",5.7,"23,919",13.2
FY2022-23,2023,"As of March 31, 2013","188,342","102,124",54.2,"9,491",5.0,"10,871",5.8,"23,812",12.6
