fiscal_year,report_year,Action type,Women,Indigenous peoples,Persons with disabilities,Members of visible minorities,Fiscal year,All employees,Percent of hires,Indigenous Peoples,Percent of separations,Total executives,All employees – number,Women - number,Women – percentage,Indigenous Peoples – number,Indigenous Peoples - percentage,Persons with disabilities – number,Persons with disabilities – percentage,Members of visible minorities – number,Members of visible minorities - percentage,Black employees – number,Black employees - percentage,Executives - number,All employees: number,Women: number,Women: percentage,Indigenous Peoples: number,Indigenous Peoples: percentage,Persons with disabilities: number,Persons with disabilities: percentage,Members of visible minorities: number,Members of visible minorities: percentage,Black employe numb,Executives: number,Black employe numbe
FY2021-22,2022,Hirings,60.1% [decrease of 0.1 percentage points],4.2% [increase of 0.4 percentage points],5.5% [increase of 1.2 percentage points],23.2% [increase of 2.0 percentage points],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2021-22,2022,Promotions,62.3% [increase of 1.7 percentage points],5.1% [increase of 0.2 percentage points],5.7% [increase of 1.0 percentage points],23.3% [increase of 2.3 percentage points],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2021-22,2022,Separations,56.6% [increase of 0.4 percentage points],5.1% [increase of 0.4 percentage points],6.6% [decrease of 0.2 percentage points],12.2% [increase of 1.3 percentage points],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"9,281",,,,2016–17,"16,081",57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"11,290",,,,2017–18,"19,249",58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"13,181",,,,2018–19,"23,334",56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"14,505",,,,2019–20,"24,901",58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"14,592",,,,2020–21,"24,229",60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"17,392",,,,2021–22,"28,929",60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,"20,378",,,,2022–23,"33,361",61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2016–17,"16,081",4.4,703,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2017–18,"19,249",4.0,767,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2018–19,"23,334",4.1,962,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2019–20,"24,901",4.0,988,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2020–21,"24,229",3.8,927,,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2021–22,"28,929",4.2,"1,209",,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2022–23,"33,361",4.4,"1,471",,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2016–17,"12,491",,602,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2017–18,"12,937",,685,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2018–19,"12,898",,655,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2019–20,"13,043",,697,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2020–21,"12,446",,590,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2021–22,"16,687",,850,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,,,2022–23,"17,510",,897,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
FY2022-23,2023,,,,603,,2016–17,"16,081",3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
