fiscal_year,report_year,designated_group,subgroup,overall_n,overall_pct,executives_n,executives_pct
FY2021-22,2022,Racialized persons,Korean,717,1.5%,,
FY2021-22,2022,Racialized persons,Filipino,"1,855",3.9%,,
FY2021-22,2022,Racialized persons,South Asian / East Indian,"8,699",18.2%,,
FY2021-22,2022,Racialized persons,"Non-white West Asian, North African or Arab","5,459",11.4%,,
FY2021-22,2022,Racialized persons,Southeast Asian,"2,087",4.4%,,
FY2022-23,2023,Racialized persons,Black,"11,771",21.4%,,
FY2022-23,2023,Racialized persons,Non-white Latin American,"2,567",4.7%,,
FY2022-23,2023,Racialized persons,Person of mixed origin,"4,409",8.0%,,
FY2022-23,2023,Racialized persons,Chinese,"8,505",15.5%,,
FY2022-23,2023,Racialized persons,Japanese,296,0.5%,,
FY2022-23,2023,Racialized persons,Korean,847,1.5%,,
FY2022-23,2023,Racialized persons,Filipino,"2,176",4.0%,,
FY2022-23,2023,Racialized persons,South Asian / East Indian,"10,125",18.4%,,
FY2022-23,2023,Racialized persons,"Non-white West Asian, North African or Arab","6,555",11.9%,,
FY2022-23,2023,Racialized persons,Southeast Asian,"2,381",4.3%,,
FY2023-24,2024,Racialized persons,Black,"13,270",5.0%,233,3.0%
FY2023-24,2024,Racialized persons,Non-White Latin American,"2,947",1.1%,42,0.5%
FY2023-24,2024,Racialized persons,Person of mixed origin,"4,657",1.7%,163,2.1%
FY2023-24,2024,Racialized persons,Chinese,"8,803",3.3%,130,1.7%
FY2023-24,2024,Racialized persons,Japanese,311,0.1%,10,0.1%
FY2023-24,2024,Racialized persons,Korean,885,0.3%,17,0.2%
FY2023-24,2024,Racialized persons,Filipino,"2,440",0.9%,18,0.2%
FY2023-24,2024,Racialized persons,South Asian / East Indian,"11,334",4.3%,250,3.2%
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab","7,355",2.8%,212,2.7%
FY2023-24,2024,Racialized persons,Southeast Asian,"3,038",1.1%,63,0.8%
FY2023-24,2024,Racialized persons,Total,"61,015",22.9%,"1,273",16.4%
FY2024-25,2025,Racialized persons,Inuit,458,0.2%,9,0.1%
FY2024-25,2025,Racialized persons,Métis,"6,235",2.3%,177,2.2%
FY2024-25,2025,Racialized persons,First Nations,"6,093",2.3%,213,2.7%
FY2024-25,2025,Racialized persons,Other,"1,952",0.7%,46,0.6%
