fiscal_year,report_year,designated_group,subgroup,data_year,value
FY2023-24,2024,Racialized persons,Black,2017,"5,218"
FY2023-24,2024,Racialized persons,Black,2018,"5,538"
FY2023-24,2024,Racialized persons,Black,2019,"6,468"
FY2023-24,2024,Racialized persons,Black,2020,"7,427"
FY2023-24,2024,Racialized persons,Black,2021,"8,754"
FY2023-24,2024,Racialized persons,Black,2022,"9,809"
FY2023-24,2024,Racialized persons,Black,2023,"11,771"
FY2023-24,2024,Racialized persons,Black,2024,"13,270"
FY2023-24,2024,Racialized persons,Non-White Latin American,2017,"1,074"
FY2023-24,2024,Racialized persons,Non-White Latin American,2018,"1,170"
FY2023-24,2024,Racialized persons,Non-White Latin American,2019,"1,387"
FY2023-24,2024,Racialized persons,Non-White Latin American,2020,"1,585"
FY2023-24,2024,Racialized persons,Non-White Latin American,2021,"1,869"
FY2023-24,2024,Racialized persons,Non-White Latin American,2022,"2,148"
FY2023-24,2024,Racialized persons,Non-White Latin American,2023,"2,567"
FY2023-24,2024,Racialized persons,Non-White Latin American,2024,"2,947"
FY2023-24,2024,Racialized persons,Person of mixed origin,2017,"2,153"
FY2023-24,2024,Racialized persons,Person of mixed origin,2018,"2,227"
FY2023-24,2024,Racialized persons,Person of mixed origin,2019,"2,568"
FY2023-24,2024,Racialized persons,Person of mixed origin,2020,"2,999"
FY2023-24,2024,Racialized persons,Person of mixed origin,2021,"3,490"
FY2023-24,2024,Racialized persons,Person of mixed origin,2022,"3,851"
FY2023-24,2024,Racialized persons,Person of mixed origin,2023,"4,409"
FY2023-24,2024,Racialized persons,Person of mixed origin,2024,"4,657"
FY2023-24,2024,Racialized persons,Chinese,2017,"5,365"
FY2023-24,2024,Racialized persons,Chinese,2018,"5,592"
FY2023-24,2024,Racialized persons,Chinese,2019,"6,042"
FY2023-24,2024,Racialized persons,Chinese,2020,"6,505"
FY2023-24,2024,Racialized persons,Chinese,2021,"7,241"
FY2023-24,2024,Racialized persons,Chinese,2022,"7,785"
FY2023-24,2024,Racialized persons,Chinese,2023,"8,505"
FY2023-24,2024,Racialized persons,Chinese,2024,"8,803"
FY2023-24,2024,Racialized persons,Japanese,2017,234
FY2023-24,2024,Racialized persons,Japanese,2018,229
FY2023-24,2024,Racialized persons,Japanese,2019,235
FY2023-24,2024,Racialized persons,Japanese,2020,249
FY2023-24,2024,Racialized persons,Japanese,2021,271
FY2023-24,2024,Racialized persons,Japanese,2022,277
FY2023-24,2024,Racialized persons,Japanese,2023,296
FY2023-24,2024,Racialized persons,Japanese,2024,311
FY2023-24,2024,Racialized persons,Korean,2017,342
FY2023-24,2024,Racialized persons,Korean,2018,383
FY2023-24,2024,Racialized persons,Korean,2019,448
FY2023-24,2024,Racialized persons,Korean,2020,535
FY2023-24,2024,Racialized persons,Korean,2021,642
FY2023-24,2024,Racialized persons,Korean,2022,717
FY2023-24,2024,Racialized persons,Korean,2023,847
FY2023-24,2024,Racialized persons,Korean,2024,885
FY2023-24,2024,Racialized persons,Filipino,2017,"1,027"
FY2023-24,2024,Racialized persons,Filipino,2018,"1,095"
FY2023-24,2024,Racialized persons,Filipino,2019,"1,231"
FY2023-24,2024,Racialized persons,Filipino,2020,"1,410"
FY2023-24,2024,Racialized persons,Filipino,2021,"1,641"
FY2023-24,2024,Racialized persons,Filipino,2022,"1,855"
FY2023-24,2024,Racialized persons,Filipino,2023,"2,176"
FY2023-24,2024,Racialized persons,Filipino,2024,"2,440"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2017,"4,949"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2018,"5,222"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2019,"5,799"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2020,"6,500"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2021,"7,646"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2022,"8,699"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2023,"10,125"
FY2023-24,2024,Racialized persons,South Asian / East Indian,2024,"11,334"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2017,"2,984"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2018,"3,184"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2019,"3,689"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2020,"4,318"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2021,"4,839"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2022,"5,459"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2023,"6,555"
FY2023-24,2024,Racialized persons,"Non-White West Asian, North African or Arab",2024,"7,355"
FY2023-24,2024,Racialized persons,Southeast Asian,2017,"1,220"
FY2023-24,2024,Racialized persons,Southeast Asian,2018,"1,293"
FY2023-24,2024,Racialized persons,Southeast Asian,2019,"1,432"
FY2023-24,2024,Racialized persons,Southeast Asian,2020,"1,637"
FY2023-24,2024,Racialized persons,Southeast Asian,2021,"1,877"
FY2023-24,2024,Racialized persons,Southeast Asian,2022,"2,087"
FY2023-24,2024,Racialized persons,Southeast Asian,2023,"2,381"
FY2023-24,2024,Racialized persons,Southeast Asian,2024,"3,038"
FY2023-24,2024,Racialized persons,Other visible minority groups,2017,"3,492"
FY2023-24,2024,Racialized persons,Other visible minority groups,2018,"4,340"
FY2023-24,2024,Racialized persons,Other visible minority groups,2019,"4,705"
FY2023-24,2024,Racialized persons,Other visible minority groups,2020,"4,980"
FY2023-24,2024,Racialized persons,Other visible minority groups,2021,"4,852"
FY2023-24,2024,Racialized persons,Other visible minority groups,2022,"5,041"
FY2023-24,2024,Racialized persons,Other visible minority groups,2023,"5,402 67"
FY2023-24,2024,Racialized persons,Other visible minority groups,2024,"5,975"
FY2023-24,2024,Racialized persons,Black,2017,2.8%
FY2023-24,2024,Racialized persons,Black,2018,2.9%
FY2023-24,2024,Racialized persons,Black,2019,3.2%
FY2023-24,2024,Racialized persons,Black,2020,3.5%
FY2023-24,2024,Racialized persons,Black,2021,3.8%
FY2023-24,2024,Racialized persons,Black,2022,4.2%
FY2023-24,2024,Racialized persons,Black,2023,4.6%
FY2023-24,2024,Racialized persons,Black,2024,5.0%
FY2023-24,2024,Racialized persons,Non-White Latin American,2017,0.6%
