fiscal_year,report_year,designated_group,subgroup,data_year,value
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2017,"1,008"
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2018,934
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2019,930
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2020,926
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2021,"1,094"
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2022,"1,164"
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2023,"1,257"
FY2023-24,2024,Persons with disabilities,Coordination and dexterity,2024,"1,388"
FY2023-24,2024,Persons with disabilities,Mobility,2017,"1,840"
FY2023-24,2024,Persons with disabilities,Mobility,2018,"1,746"
FY2023-24,2024,Persons with disabilities,Mobility,2019,"1,737"
FY2023-24,2024,Persons with disabilities,Mobility,2020,"1,741"
FY2023-24,2024,Persons with disabilities,Mobility,2021,"2,186"
FY2023-24,2024,Persons with disabilities,Mobility,2022,"2,307"
FY2023-24,2024,Persons with disabilities,Mobility,2023,"2,588"
FY2023-24,2024,Persons with disabilities,Mobility,2024,"2,912"
FY2023-24,2024,Persons with disabilities,Speech impairment,2017,224
FY2023-24,2024,Persons with disabilities,Speech impairment,2018,215
FY2023-24,2024,Persons with disabilities,Speech impairment,2019,224
FY2023-24,2024,Persons with disabilities,Speech impairment,2020,235
FY2023-24,2024,Persons with disabilities,Speech impairment,2021,276
FY2023-24,2024,Persons with disabilities,Speech impairment,2022,323
FY2023-24,2024,Persons with disabilities,Speech impairment,2023,349
FY2023-24,2024,Persons with disabilities,Speech impairment,2024,412
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2017,824
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2018,770
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2019,767
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2020,783
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2021,951
FY2023-24,2024,Persons with disabilities,Blind or visual impairment,2022,"1,042"
