fiscal_year,report_year,region,all_employees,women_n,women_pct,indigenous_n,indigenous_pct,disability_n,disability_pct,racialized_n,racialized_pct
FY2021-22,2022,Newfoundland and Labrador,"4,082","2,080",51.0,293,7.2,256,6.3,110,2.7
FY2021-22,2022,Prince Edward Island,"2,215","1,441",65.1,52,2.3,152,6.9,76,3.4
FY2021-22,2022,Nova Scotia,"9,611","4,566",47.5,554,5.8,740,7.7,675,7.0
FY2021-22,2022,New Brunswick,"9,450","5,673",60.0,346,3.7,524,5.5,341,3.6
FY2021-22,2022,Quebec (without the NCR)†,"24,655","13,475",54.7,623,2.5,"1,052",4.3,"3,927",15.9
FY2021-22,2022,NCR (Quebec)†,"32,593","18,925",58.1,"1,728",5.3,"2,139",6.6,"6,838",21.0
FY2021-22,2022,NCR (Ontario)†,"77,518","43,590",56.2,"2,806",3.6,"5,102",6.6,"18,019",23.2
FY2021-22,2022,NCR†,"110,111","62,515",56.8,"4,534",4.1,"7,241",6.6,"24,857",22.6
FY2021-22,2022,Ontario (without the NCR)†,"27,866","15,803",56.7,"1,332",4.8,"1,792",6.4,"7,519",27.0
FY2021-22,2022,Manitoba,"7,513","4,401",58.6,"1,165",15.5,476,6.3,"1,168",15.5
FY2021-22,2022,Saskatchewan,"5,030","3,087",61.4,930,18.5,314,6.2,527,10.5
FY2021-22,2022,Alberta,"11,793","6,797",57.6,971,8.2,813,6.9,"2,525",21.4
FY2021-22,2022,British Columbia,"19,132","9,825",51.4,"1,115",5.8,"1,003",5.2,"5,102",26.7
FY2021-22,2022,Yukon,337,211,62.6,50,14.8,26,7.7,36,10.7
FY2021-22,2022,Northwest Territories,449,264,58.8,77,17.1,23,5.1,54,12.0
FY2021-22,2022,Nunavut,285,168,58.9,141,49.5,10,3.5,40,14.0
FY2021-22,2022,Outside Canada,"1,449",722,49.8,72,5.0,39,2.7,352,24.3
FY2021-22,2022,Not available‡,"2,155","1,271",59.0,81,3.8,112,5.2,419,19.4
FY2021-22,2022,Total,"236,133","132,299",56.0,"12,336",5.2,"14,573",6.2,"47,728",20.2
FY2022-23,2023,Newfoundland and Labrador,"4,264","2,222",52.1,328,7.7,289,6.8,129,3.0
FY2022-23,2023,Prince Edward Island,"2,393","1,538",64.3,70,2.9,191,8.0,96,4.0
